Dniva;AGI
Dniva30959;AT2G32700
Dniva30973;AT2G32765
Dniva31015;AT2G32100
Dniva31126;AT2G31090
Dniva31136;AT5G42650
Dniva31145;AT5G42920
Dniva31245;AT4G11380
Dniva31308;AT4G04340
Dniva31321;AT1G77060
Dniva31333;AT4G12620
Dniva31343;AT4G12440
Dniva31402;AT4G04720
Dniva31531;AT5G44370
Dniva31592;AT5G44330
Dniva31716;AT5G45670
Dniva31845;AT5G46580
Dniva31907;AT5G49770
Dniva31987;AT4G11150
Dniva32054;AT4G10380
Dniva32129;AT3G15720
Dniva32138;AT2G43860
Dniva32153;AT4G08920
Dniva32186;AT2G42005
Dniva32477;AT1G57750
Dniva32491;AT2G23420
Dniva32562;AT2G23800
Dniva32576;AT2G24130
Dniva32607;AT2G24240
Dniva3262;AT3G54630
Dniva32649;AT2G24520
Dniva32653;AT2G24610
Dniva32662;AT2G24590
Dniva32667;AT2G24360
Dniva32738;AT3G14810
Dniva32838;AT5G04430
Dniva33055;AT5G39000
Dniva33080;AT5G39320
Dniva331;AT1G14900
Dniva33144;AT5G39610
Dniva3425;AT3G56090
Dniva3458;AT3G55530
Dniva3475;AT3G55320
Dniva3557;AT3G56270
Dniva3565;AT5G61480
Dniva3594;AT3G56160
Dniva3617;AT3G56900
Dniva3670;AT3G57130
Dniva3693;AT3G57330
Dniva3718;AT3G57660
Dniva3733;AT3G57410
Dniva3835;AT3G60330
Dniva3843;AT3G60245
Dniva3935;AT3G49140
Dniva3990;AT3G61220
Dniva4045;AT3G57940
Dniva4085;AT3G57750
Dniva4191;AT3G59970
Dniva4266;AT3G50808
Dniva4277;AT3G60630
Dniva4279;AT3G60580
Dniva4309;AT3G62150
Dniva4399;AT3G63200
Dniva442;AT2G02100
Dniva4449;AT4G18050
Dniva4496;AT3G58580
Dniva4522;AT3G59260
Dniva4619;AT1G55580
Dniva4652;AT5G27120
Dniva4663;AT1G55850
Dniva4688;AT1G55210
Dniva4703;AT1G55460
Dniva4789;AT1G53500
Dniva4902;AT1G53300
Dniva4934;AT1G54990
Dniva4935;AT1G52590
Dniva496;AT2G01830
Dniva4999;AT1G53030
Dniva500;AT2G01820
Dniva5030;AT1G53060
Dniva506;AT2G01880
Dniva5083;AT1G51510
Dniva517;AT2G03800
Dniva5171;AT1G51220
Dniva5319;AT1G49660
Dniva5555;AT4G16130
Dniva5560;AT5G51060
Dniva5591;AT5G47980
Dniva5674;AT4G15480
Dniva5771;AT4G14730
Dniva5930;AT4G13620
Dniva5946;AT4G14190
Dniva597;AT3G25990
Dniva6022;AT3G24810
Dniva6078;AT4G12650
Dniva6117;AT4G12730
Dniva6129;AT4G25160
Dniva6242;AT1G65240
Dniva6246;AT5G36170
Dniva6263;AT3G49450
Dniva6264;AT5G36790
Dniva6309;AT2G27040
Dniva631;AT1G51270
Dniva6314;AT5G15350
Dniva6327;AT4G21050
Dniva6382;AT2G27510
Dniva639;AT2G03240
Dniva6407;AT2G35980
Dniva6420;AT2G29190
Dniva654;AT5G27470
Dniva6552;AT1G08010
Dniva6559;AT2G28305
Dniva658;AT2G03120
Dniva663;AT2G02870
Dniva674;AT2G03090
Dniva676;AT2G02970
Dniva6847;AT1G59610
Dniva7006;AT2G34400
Dniva7172;AT2G35630
Dniva7179;AT2G35620
Dniva727;AT3G44260
Dniva7311;AT2G36310
Dniva7521;AT2G37310
Dniva7586;AT4G01100
Dniva7618;AT2G38020
Dniva775;AT3G28200
Dniva7757;AT2G38730
Dniva7800;AT2G39760
Dniva7819;AT2G39750
Dniva7876;AT2G40116
Dniva809;AT3G28415
Dniva819;AT3G27280
Dniva8195;AT1G79920
Dniva8224;AT1G80510
Dniva8290;AT1G80820
Dniva8446;AT1G78980
Dniva8487;AT1G78390
Dniva850;AT3G27120
Dniva8508;AT1G78570
Dniva8533;AT1G78270
Dniva8758;AT1G77060
Dniva8780;AT4G20370
Dniva8839;AT1G76390
Dniva8841;AT1G76405
Dniva8887;AT1G76110
Dniva8975;AT1G75540
Dniva8979;AT1G75660
Dniva902;AT5G61010
Dniva9026;AT1G75200
Dniva9142;AT1G74540
Dniva9167;AT3G03040
Dniva9232;AT4G39050
Dniva9275;AT1G73640
Dniva9353;AT1G73000
